Date,Relative Location,Storm Geometry,Storm Motion,Prov,Start Time (UTC),Start Link (CAP File),End Time (UTC),End Link (CAP File),Warned Polygon (GeoJSON File)
26/08/30,near Elkhorn,ISOLATED_CELL,northeast at 35 km/h,MB,23:56,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearElkhorn-MB-235606.cap,23:58,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearElkhorn-MB-235606.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearElkhorn-MB-235606.geojson
26/08/30,near Elkhorn,ISOLATED_CELL,northeast at 35 km/h,MB,23:58,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearElkhorn-MB-235807.cap,00:09,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearElkhorn-MB-235807.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearElkhorn-MB-235807.geojson
26/08/31,near Reeder,ISOLATED_CELL,northeast at 35 km/h,MB,00:09,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/start-nearReeder-MB-000902.cap,00:21,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/end-nearReeder-MB-000902.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/31/nearReeder-MB-000902.geojson
26/08/31,over Gerald,ISOLATED_CELL,northeast at 40 km/h,MB,00:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/start-overGerald-MB-001348.cap,00:32,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/end-overGerald-MB-001348.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/31/overGerald-MB-001348.geojson
26/08/31,over Gerald,ISOLATED_CELL,northeast at 40 km/h,SK,00:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/start-overGerald-SK-001348.cap,00:32,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/end-overGerald-SK-001348.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/31/overGerald-SK-001348.geojson
26/08/31,near Reeder,ISOLATED_CELL,northeast at 35 km/h,MB,00:21,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/start-nearReeder-MB-002154.cap,00:32,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/end-nearReeder-MB-002154.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/31/nearReeder-MB-002154.geojson
26/08/31,about 10 km southwest of Birdtail Sioux,ISOLATED_CELL,northeast at 40 km/h,MB,00:32,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/start-about10kmsouthwestofBirdtailSioux-MB-003200.cap,00:44,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/end-about10kmsouthwestofBirdtailSioux-MB-003200.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/31/about10kmsouthwestofBirdtailSioux-MB-003200.geojson
26/08/31,near Birdtail Sioux,ISOLATED_CELL,northeast at 40 km/h,MB,00:44,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/start-nearBirdtailSioux-MB-004413.cap,00:51,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/end-nearBirdtailSioux-MB-004413.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/31/nearBirdtailSioux-MB-004413.geojson
26/08/31,over Oak Lake,ISOLATED_CELL,north at 30 km/h,MB,00:55,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/start-overOakLake-MB-005555.cap,01:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/31/end-overOakLake-MB-005555.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/31/overOakLake-MB-005555.geojson
26/09/02,near Clinton,ISOLATED_CELL,quickly to the east at 75 km/h,ON,20:51,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-nearClinton-ON-205136.cap,21:02,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-nearClinton-ON-205136.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/nearClinton-ON-205136.geojson
26/09/02,over Seaforth,ISOLATED_CELL,quickly to the east at 75 km/h,ON,21:02,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-overSeaforth-ON-210236.cap,21:08,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-overSeaforth-ON-210236.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/overSeaforth-ON-210236.geojson
26/09/02,over Dublin,ISOLATED_CELL,quickly to the east at 75 km/h,ON,21:08,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-overDublin-ON-210830.cap,21:16,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-overDublin-ON-210830.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/overDublin-ON-210830.geojson
26/09/02,near Gads Hill,ISOLATED_CELL,quickly to the east at 100 km/h,ON,21:16,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-nearGadsHill-ON-211653.cap,21:29,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-nearGadsHill-ON-211653.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/nearGadsHill-ON-211653.geojson
26/09/02,over St. Clements,ISOLATED_CELL,quickly to the east at 100 km/h,ON,21:34,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-overSt.Clements-ON-213404.cap,21:49,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-overSt.Clements-ON-213404.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/overSt.Clements-ON-213404.geojson
26/09/02,over Plattsville,ISOLATED_CELL,quickly to the east at 95 km/h,ON,21:37,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-overPlattsville-ON-213753.cap,21:48,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-overPlattsville-ON-213753.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/overPlattsville-ON-213753.geojson
26/09/02,over Ayr,ISOLATED_CELL,quickly to the east at 90 km/h,ON,21:48,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-overAyr-ON-214801.cap,21:55,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-overAyr-ON-214801.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/overAyr-ON-214801.geojson
26/09/02,over Michigan,ISOLATED_CELL,east at 50 km/h,ON,23:19,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-overMichigan-ON-231918.cap,23:22,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-overMichigan-ON-231918.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/overMichigan-ON-231918.geojson
26/09/02,over Michigan,ISOLATED_CELL,east at 50 km/h,ON,23:22,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/start-overMichigan-ON-232259.cap,23:36,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/09/02/end-overMichigan-ON-232259.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/09/02/overMichigan-ON-232259.geojson
